,name,price,image,product
20,"Palio Legend3.0 ITTF Approved Red, Black, White Table Tennis Racquet","₹4,799",https://rukminim2.flixcart.com/image/612/612/l3vxbbk0/racquet/a/i/p/na-na-legend3-0-2-b07v2lddbs-259-table-tennis-racquet-palio-original-imagewkguggscpbw.jpeg?q=70,https://www.flipkart.com/palio-legend3-0-ittf-approved-red-black-white-table-tennis-racquet/p/itm43d722fdab464?pid=RAQGEWKGZ4GNX28D&lid=LSTRAQGEWKGZ4GNX28DUWJOTK&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=en_y5jYop-tPudPDkxFiuXyFpPIR6jubCpo2YkhCNJBuwGdDbXISOg_i4bX2KxUnd1NRtcmUEGt8oEOlTAgzjSwXg%3D%3D&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
21,Butterfly timo boll 2000 ( with 2 ball ) Multicolor Table Tennis Racquet,"₹2,490",https://rukminim2.flixcart.com/image/612/612/jfr57rk0/racquet/s/a/y/4-timo-boll-2000-with-2-ball-na-1-2000-0-350-table-tennis-original-imaf4584jqqazwzp.jpeg?q=70,https://www.flipkart.com/butterfly-timo-boll-2000-2-ball-multicolor-table-tennis-racquet/p/itm0168fc1695b62?pid=RAQF45GZC9BMBSAY&lid=LSTRAQF45GZC9BMBSAYQNU37A&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQF45GZC9BMBSAY.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
22,"STAG 3 Star Red, Black Table Tennis Racquet",₹466,https://rukminim2.flixcart.com/image/612/612/kwdv3bk0/racquet/l/v/7/na-3-star-na-1-353-190-table-tennis-racquet-stag-na-original-imag92jz4pkg4fev.jpeg?q=70,https://www.flipkart.com/stag-3-star-red-black-table-tennis-racquet/p/itm91eb1272feaec?pid=RAQDCNWAEUZJHYYY&lid=LSTRAQDCNWAEUZJHYYYAD1Q9A&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQDCNWAEUZJHYYY.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
23,GKI Fasto In Foam Cover Multicolor Table Tennis Racquet,₹685,https://rukminim2.flixcart.com/image/612/612/j9k8ivk0/racquet/g/a/t/g4-fasto-in-foam-cover-strung-1-sprt277-323-table-tennis-racquet-original-imaezbzhqsyk6ggf.jpeg?q=70,https://www.flipkart.com/gki-fasto-foam-cover-multicolor-table-tennis-racquet/p/itm23d37e72b0567?pid=RAQEZAVX4JA7CGAT&lid=LSTRAQEZAVX4JA7CGAT1PYME3&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEZAVX4JA7CGAT.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
24,GKI Kung FU DX Black Table Tennis Racquet,"₹1,699",https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/n/f/d/-original-imagzfhb3rzby7q3.jpeg?q=70,https://www.flipkart.com/gki-kung-fu-dx-black-table-tennis-racquet/p/itmc939220fa5082?pid=RAQGNZFM8FFZYNVZ&lid=LSTRAQGNZFM8FFZYNVZDMB74B&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGNZFM8FFZYNVZ.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
25,ArrowMax CLUB Multicolor Table Tennis Racquet,₹338,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/u/s/d/na-na-club-1-atr01-150-table-tennis-racquet-arrowmax-na-original-imagpb3fefkgamut.jpeg?q=70,https://www.flipkart.com/arrowmax-club-multicolor-table-tennis-racquet/p/itm628a684a36c05?pid=RAQFB5XYY4DFTMSH&lid=LSTRAQFB5XYY4DFTMSHOMC5O0&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQFB5XYY4DFTMSH.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
26,"Butterfly Wakaba 2000- Dimitrij Ovtcharov-With cover Black, Red Table Tennis Racquet","₹2,449",https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/o/1/7/na-na-wakaba-2000-dimitrij-ovtcharov-with-cover-1-wak-2000-2022-original-imaggmf5ghpagafy.jpeg?q=70,https://www.flipkart.com/butterfly-wakaba-2000-dimitrij-ovtcharov-with-cover-black-red-table-tennis-racquet/p/itm40412fbc2fc5a?pid=RAQGGHZADAUMEDD5&lid=LSTRAQGGHZADAUMEDD5LBBDBH&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGGHZADAUMEDD5.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
27,STAG 1 Star Table Tennis Racquet (Pack of 2) Multicolor Table Tennis Racquet,₹799,https://rukminim2.flixcart.com/image/612/612/k1wgx3k0/racquet/t/z/e/na-1-star-table-tennis-racquet-pack-of-2-na-2-star-table-tennis-original-imafhdambhajdybh.jpeg?q=70,https://www.flipkart.com/stag-1-star-table-tennis-racquet-pack-2-multicolor/p/itmdd9935351e8b7?pid=RAQFHC9GRYRTBTZE&lid=LSTRAQFHC9GRYRTBTZEH2TQ5U&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQFHC9GRYRTBTZE.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
28,Comfy Sparrow Red Red Table Tennis Racquet,₹413,https://rukminim2.flixcart.com/image/612/612/xif0q/racquet/k/8/d/na-na-red-1-cs-ttk-rd-10-na-360-table-tennis-racquet-comfy-original-imagzfuc9y6mfhjf.jpeg?q=70,https://www.flipkart.com/comfy-sparrow-red-table-tennis-racquet/p/itm068039a815dd7?pid=RAQGZFFFXGYNUZWH&lid=LSTRAQGZFFFXGYNUZWHYKUJDN&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQGZFFFXGYNUZWH.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
29,GKI Belbot In Foam Cover Multicolor Table Tennis Racquet,₹754,https://rukminim2.flixcart.com/image/612/612/j9hdn680/racquet/z/4/3/g4-belbot-in-foam-cover-strung-1-sprt275-323-table-tennis-original-imaez9rh3ezu9v7g.jpeg?q=70,https://www.flipkart.com/gki-belbot-foam-cover-multicolor-table-tennis-racquet/p/itm0f5e115ed05a2?pid=RAQEZ9YK9HXGXZ43&lid=LSTRAQEZ9YK9HXGXZ43VTKXOB&marketplace=FLIPKART&q=Table+Tennis+Racket&store=abc%2Fd8a%2Ffy5&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=d4e5f60a-c2d5-4805-b4bb-e87729bf8915.RAQEZ9YK9HXGXZ43.SEARCH&ppt=hp&ppn=homepage&ssid=we5afqoaq80000001692107894537&qH=9bb918aa6a31aae5
